ticks;timestamp ms;expected ts ms;lag ms;actual delta ms;expected delta ms;delta diff ms;measure;message
0;9.939;0.000;9.939;0.022;0.000;0.022;1;"JavaWrapperMessage(ticks=0, isNote=false, isMeta=true)"
0;9.960;0.000;9.960;0.021;0.000;0.021;1;"JavaWrapperMessage(ticks=0, isNote=false, isMeta=false)"
0;9.982;0.000;9.982;0.022;0.000;0.022;1;"JavaWrapperMessage(ticks=0, isNote=false, isMeta=false)"
0;10.004;0.000;10.004;0.022;0.000;0.022;1;"JavaWrapperMessage(ticks=0, isNote=false, isMeta=false)"
0;10.025;0.000;10.025;0.021;0.000;0.021;1;"JavaWrapperMessage(ticks=0, isNote=false, isMeta=false)"
0;10.046;0.000;10.046;0.021;0.000;0.021;1;"JavaWrapperMessage(ticks=0, isNote=false, isMeta=false)"
0;10.069;0.000;10.069;0.023;0.000;0.023;1;"JavaWrapperMessage(ticks=0, isNote=false, isMeta=false)"
0;10.126;0.000;10.126;0.056;0.000;0.056;1;"JavaWrapperMessage(ticks=0, isNote=false, isMeta=true)"
0;10.150;0.000;10.150;0.024;0.000;0.024;1;"JavaWrapperMessage(ticks=0, isNote=false, isMeta=false)"
0;10.172;0.000;10.172;0.022;0.000;0.022;1;"JavaWrapperMessage(ticks=0, isNote=false, isMeta=false)"
0;10.194;0.000;10.194;0.022;0.000;0.022;1;"JavaWrapperMessage(ticks=0, isNote=false, isMeta=false)"
0;10.226;0.000;10.226;0.031;0.000;0.031;1;"JavaWrapperMessage(ticks=0, isNote=false, isMeta=false)"
0;10.253;0.000;10.253;0.027;0.000;0.027;1;"JavaWrapperMessage(ticks=0, isNote=false, isMeta=false)"
0;10.276;0.000;10.276;0.024;0.000;0.024;1;"JavaWrapperMessage(ticks=0, isNote=false, isMeta=false)"
0;10.297;0.000;10.297;0.020;0.000;0.020;1;"JavaWrapperMessage(ticks=0, isNote=false, isMeta=true)"
0;10.320;0.000;10.320;0.023;0.000;0.023;1;"JavaWrapperMessage(ticks=0, isNote=false, isMeta=false)"
0;10.347;0.000;10.347;0.027;0.000;0.027;1;"JavaWrapperMessage(ticks=0, isNote=false, isMeta=false)"
0;10.369;0.000;10.369;0.022;0.000;0.022;1;"JavaWrapperMessage(ticks=0, isNote=false, isMeta=false)"
0;10.391;0.000;10.391;0.022;0.000;0.022;1;"JavaWrapperMessage(ticks=0, isNote=false, isMeta=false)"
0;10.412;0.000;10.412;0.021;0.000;0.021;1;"JavaWrapperMessage(ticks=0, isNote=false, isMeta=false)"
0;10.435;0.000;10.435;0.023;0.000;0.023;1;"JavaWrapperMessage(ticks=0, isNote=false, isMeta=false)"
0;10.455;0.000;10.455;0.019;0.000;0.019;1;"JavaWrapperMessage(ticks=0, isNote=false, isMeta=true)"
0;10.475;0.000;10.475;0.021;0.000;0.021;1;"JavaWrapperMessage(ticks=0, isNote=false, isMeta=true)"
0;10.496;0.000;10.496;0.021;0.000;0.021;1;"JavaWrapperMessage(ticks=0, isNote=false, isMeta=true)"
0;10.515;0.000;10.515;0.019;0.000;0.019;1;"JavaWrapperMessage(ticks=0, isNote=false, isMeta=true)"
0;10.536;0.000;10.536;0.022;0.000;0.022;1;"JavaWrapperMessage(ticks=0, isNote=false, isMeta=true)"
96;179.758;168.539;11.219;169.222;168.539;0.683;1;"-"
192;349.101;337.078;12.023;169.342;168.539;0.803;1;"-"
288;518.391;505.617;12.774;169.290;168.539;0.751;1;"-"
384;687.661;674.156;13.505;169.270;168.539;0.731;1;"-"
480;856.987;842.695;14.292;169.326;168.539;0.787;1;"-"
576;1035.138;1011.234;23.904;178.152;168.539;9.613;1;"-"
672;1204.335;1179.773;24.562;169.196;168.539;0.657;1;"-"
768;1373.603;1348.312;25.291;169.268;168.539;0.729;1;"-"
864;1542.924;1516.851;26.073;169.321;168.539;0.782;1;"-"
960;1712.203;1685.390;26.813;169.279;168.539;0.740;1;"-"
1056;1881.461;1853.929;27.532;169.258;168.539;0.719;1;"-"
1056;1889.850;1853.929;35.921;8.390;0.000;8.390;1;"JavaWrapperMessage(ticks=1056, isNote=true, isMeta=false)"
1152;2059.074;2022.468;36.606;169.223;168.539;0.684;2;"-"
1152;2059.631;2022.468;37.163;0.557;0.000;0.557;2;"JavaWrapperMessage(ticks=1152, isNote=true, isMeta=false)"
1248;2228.973;2191.007;37.966;169.343;168.539;0.804;2;"-"
1344;2398.202;2359.546;38.656;169.228;168.539;0.689;2;"-"
1440;2567.435;2528.085;39.350;169.233;168.539;0.694;2;"-"
1440;2567.877;2528.085;39.792;0.442;0.000;0.442;2;"JavaWrapperMessage(ticks=1440, isNote=true, isMeta=false)"
1440;2568.874;2528.085;40.789;0.998;0.000;0.998;2;"JavaWrapperMessage(ticks=1440, isNote=true, isMeta=false)"
1536;2738.062;2696.624;41.438;169.188;168.539;0.649;2;"-"
1632;2907.294;2865.163;42.131;169.232;168.539;0.693;2;"-"
1728;3076.460;3033.702;42.758;169.166;168.539;0.627;2;"-"
1728;3076.583;3033.702;42.881;0.122;0.000;0.122;2;"JavaWrapperMessage(ticks=1728, isNote=true, isMeta=false)"
1728;3077.045;3033.702;43.343;0.462;0.000;0.462;2;"JavaWrapperMessage(ticks=1728, isNote=true, isMeta=false)"
1824;3246.215;3202.241;43.974;169.170;168.539;0.631;2;"-"
1920;3415.599;3370.780;44.819;169.384;168.539;0.845;2;"-"
2016;3584.881;3539.319;45.562;169.282;168.539;0.743;2;"-"
2016;3585.097;3539.319;45.778;0.216;0.000;0.216;2;"JavaWrapperMessage(ticks=2016, isNote=true, isMeta=false)"
2016;3586.333;3539.319;47.014;1.236;0.000;1.236;2;"JavaWrapperMessage(ticks=2016, isNote=true, isMeta=false)"
2112;3755.603;3707.858;47.745;169.270;168.539;0.731;2;"-"
2208;3924.880;3876.397;48.483;169.277;168.539;0.738;2;"-"
2208;3925.109;3876.397;48.712;0.230;0.000;0.230;2;"JavaWrapperMessage(ticks=2208, isNote=true, isMeta=false)"
2208;3925.958;3876.397;49.561;0.849;0.000;0.849;2;"JavaWrapperMessage(ticks=2208, isNote=true, isMeta=false)"
2304;4095.260;4044.936;50.324;169.301;168.539;0.762;3;"-"
